id,w_foreign_language,w_literature,w_math,x_biology,x_chemistry,x_physics,y_civic_education,y_geography,y_history,z_average,z_max,z_min
33000001,3,4.50,6.40,-,-,-,7.75,7.50,6.50,5.94,7.75,3.0
33000009,5.20,4.50,8.40,4.25,6.75,6.50,-,-,-,5.93,8.4,4.25
33000010,2.20,6.75,4.60,-,-,-,8,6.25,5.25,5.51,8.0,2.2
33000002,7,9.25,8.40,-,-,-,9.25,8,6,7.98,9.25,6.0
33000003,8.60,6.50,6.80,-,-,-,9.25,6.75,5,7.15,9.25,5.0
33000007,7.60,7,5.60,-,-,-,7.75,8,5,6.83,8.0,5.0
33000008,2.80,6.50,7.20,-,-,-,9.50,8,4.75,6.46,9.5,2.8
33000004,8.60,8,6.20,-,-,-,9,7,4,7.13,9.0,4.0
33000011,4.60,6,6.80,-,-,-,9,7.50,6.75,6.77,9.0,4.6
33000006,8,8,8.20,-,-,-,9,8.50,6,7.95,9.0,6.0
33000012,3,6.25,4.80,-,-,-,7.75,7,3.25,5.34,7.75,3.0
33000016,9.80,8.50,8,-,-,-,9.75,8,9,8.84,9.8,8.0
33000018,2.60,6.25,7.20,-,-,-,9.25,8.25,6.50,6.67,9.25,2.6
33000019,5.80,7.50,7.80,-,-,-,6.75,6.25,3.25,6.23,7.8,3.25
33000017,2.20,5,7.60,-,-,-,9,7,5.25,6.01,9.0,2.2
33000014,3.40,6,6.20,-,-,-,8.50,4.75,3.50,5.39,8.5,3.4
33000013,4.80,6.75,7.40,2.75,7.75,5.75,-,-,-,5.87,7.75,2.75
33000015,4.60,5.25,5.80,-,-,-,8,8.25,3.50,5.9,8.25,3.5
33000020,5.60,8,7.20,-,-,-,8.75,8,5.75,7.22,8.75,5.6
33000022,8.40,8,8.40,-,-,-,9.25,7,4.25,7.55,9.25,4.25
33000023,6.80,7.25,8.40,7.75,8.50,4.75,-,-,-,7.24,8.5,4.75
33000021,7,6.75,6.60,-,-,-,8.50,6.75,4.25,6.64,8.5,4.25
33000024,7.60,7,7.40,-,-,-,7.75,6.75,3.50,6.67,7.75,3.5
33000026,5.20,7.25,6.80,-,-,-,7.50,5.25,3.50,5.92,7.5,3.5
33000027,9.60,8.75,9,-,-,-,9.25,7.50,6,8.35,9.6,6.0
33000032,2.60,4,4,-,-,-,6.25,5.75,3.50,4.35,6.25,2.6
33000029,3.20,5.50,4,-,-,-,8.25,6,4.25,5.2,8.25,3.2
33000033,4.60,6.25,7.20,-,-,-,9.50,6.75,5.50,6.63,9.5,4.6
33000025,3.20,3.50,5.20,-,-,-,8,5.75,2.75,4.73,8.0,2.75
33000030,2.60,5.75,4.80,-,-,-,8.25,6.25,3.25,5.15,8.25,2.6
33000028,6.80,7,7.80,-,-,-,7,6.25,4,6.48,7.8,4.0
33000031,6.60,6.50,5.60,-,-,-,8.75,7.25,5.75,6.74,8.75,5.75
33000034,3.60,7,4.20,-,-,-,6.75,5.25,4.75,5.26,7.0,3.6
33000035,7.60,6.75,9.20,4.25,8.50,7.25,-,-,-,7.26,9.2,4.25
33000036,3.80,6.75,8,6,8.25,5.50,-,-,-,6.38,8.25,3.8
33000037,9,8.50,7.80,-,-,-,8.25,7.75,4.50,7.63,9.0,4.5
33000038,4.20,5.50,5.40,-,-,-,7.50,7,3.75,5.56,7.5,3.75
33000044,2.60,6,4,-,-,-,8,7.75,3.75,5.35,8.0,2.6
33000040,4.60,7.25,8,7.25,7.25,4.75,-,-,-,6.52,8.0,4.6
33000042,7,5.25,7,3.75,4.25,6.75,-,-,-,5.67,7.0,3.75
33000039,2.20,6,5.20,-,-,-,6.75,6.50,3.25,4.98,6.75,2.2
33000041,6,5.50,8.60,3,7.50,8.75,-,-,-,6.56,8.75,3.0
33000043,3.20,5.75,4.20,-,-,-,8.75,6.75,3.75,5.4,8.75,3.2
33000046,3.20,4.25,6.40,-,-,-,9.25,6.75,4,5.64,9.25,3.2
33000045,5.80,6,8.60,5.25,7.50,7.25,-,-,-,6.73,8.6,5.25
33000047,3.80,5.50,7,-,-,-,8.50,6.50,4,5.88,8.5,3.8
33000050,5.20,6,3.60,-,-,-,7.25,5.25,2,4.88,7.25,2.0
33000054,3.20,5.75,4.20,-,-,-,8.25,5.50,3.25,5.02,8.25,3.2
33000052,4.60,4,5.40,-,-,-,8.75,6.50,3.75,5.5,8.75,3.75
33000053,1.80,4.75,5.40,-,-,-,5.75,6.25,1.75,4.28,6.25,1.75
33000051,3.40,7,5.20,-,-,-,8,6.75,5,5.89,8.0,3.4
33000049,4.20,5.25,7.60,8.50,8.25,4.25,-,-,-,6.34,8.5,4.2
33000048,5.80,5,6,-,-,-,8.50,6.75,5.25,6.22,8.5,5.0
33000059,2.80,5.50,7.80,5.50,7,6.25,-,-,-,5.81,7.8,2.8
33000062,3.80,6.50,6.60,-,-,-,9,7.75,3.75,6.23,9.0,3.75
33000057,4.80,6.50,7.60,5.50,7,4.75,-,-,-,6.02,7.6,4.75
33000061,3,6.75,4.20,-,-,-,7.25,7.50,5.75,5.74,7.5,3.0
33000055,8.40,7.25,8.40,5.75,6.75,7.50,-,-,-,7.34,8.4,5.75
33000060,4.80,7.75,5.60,-,-,-,8.50,6.75,4.25,6.27,8.5,4.25
33000056,2.60,6.50,6,-,-,-,9.25,7.25,5,6.1,9.25,2.6
33000065,3.20,6,5.20,-,-,-,8,5.75,6.25,5.73,8.0,3.2
33000064,4.20,6.50,8,-,-,-,9.50,7.25,8.25,7.28,9.5,4.2
33000063,2.80,5.75,6.80,-,-,-,8,7.25,3,5.6,8.0,2.8
33000070,7.20,8,6.80,-,-,-,8.50,8.50,4.25,7.21,8.5,4.25
33000069,2.60,5,5.60,-,-,-,8,7.50,6.25,5.83,8.0,2.6
33000068,8,6.75,8.80,4.75,8.75,8,-,-,-,7.51,8.8,4.75
33000067,3.60,5.25,4.20,-,-,-,8.25,6,4,5.22,8.25,3.6
33000066,3.40,5,4.80,-,-,-,8.25,6.25,5.25,5.49,8.25,3.4
33000073,6.20,7,5,-,-,-,8,7.25,4.25,6.28,8.0,4.25
33000072,2.60,4.75,8,3.25,6.75,8,-,-,-,5.56,8.0,2.6
33000071,4,4.75,6.80,-,-,-,8.75,6,3.50,5.63,8.75,3.5
33000075,6.80,4.75,8.20,5.25,4.75,7.50,-,-,-,6.21,8.2,4.75
33000074,8.60,6.50,8,6.25,8.25,7.50,-,-,-,7.52,8.6,6.25
33000077,1.80,5.75,3.80,-,-,-,8.75,5.25,2.25,4.6,8.75,1.8
33000076,5.80,7.50,7.60,-,-,-,8.75,7.25,4.25,6.86,8.75,4.25
33000078,5,8,8.20,7,9,6.25,-,-,-,7.24,9.0,5.0
33000083,5.20,6.75,7.80,4.75,7,6.75,-,-,-,6.38,7.8,4.75
33000084,7.80,6.75,6.40,-,-,-,8.50,8,5.75,7.2,8.5,5.75
33000082,7.40,7.75,7.40,6.75,6.75,5.75,-,-,-,6.97,7.75,5.75
33000081,3.60,4,4.40,-,-,-,7.75,6.50,3,4.88,7.75,3.0
33000079,9,7,8.40,5.75,5.75,7,-,-,-,7.15,9.0,5.75
33000085,4.40,6.50,5.20,-,-,-,6.75,5.75,2.25,5.14,6.75,2.25
33000080,3.80,5.75,4.60,-,-,-,9.25,5.75,6.25,5.9,9.25,3.8
33000090,3.20,6.50,6,-,-,-,9.50,8.50,4,6.28,9.5,3.2
33000092,7.40,7,7.60,5.75,7.75,7.25,-,-,-,7.12,7.75,5.75
33000087,6.80,5,7.80,4.25,6.50,6.75,-,-,-,6.18,7.8,4.25
33000089,2.80,6.75,7.80,-,-,-,9.50,7,5.75,6.6,9.5,2.8
33000091,4.60,6.25,6.20,-,-,-,9.25,7.25,5,6.42,9.25,4.6
